product_id,name,category,base_price,stock,sales_7,sales_30,day
1,Rice,Grains,50,20,30,120,2
2,Sugar,Sweeteners,40,15,25,100,4
3,Milk,Dairy,30,10,40,150,5
4,Oil,Cooking,120,8,20,90,6
5,Dal,Grains,90,25,15,60,1
6,Wheat,Grains,60,30,25,110,3
7,Butter,Dairy,250,5,10,45,2
8,Cheese,Dairy,180,8,15,60,4
9,Yogurt,Dairy,35,20,35,140,5
10,Bread,Bakery,40,50,80,320,7
11,Tea,Beverages,150,15,20,80,3
12,Coffee,Beverages,200,12,18,72,2
13,Salt,Spices,20,100,50,200,6
14,Black Pepper,Spices,300,5,8,32,1
15,Turmeric,Spices,250,8,10,40,2
16,Cumin,Spices,280,6,9,36,3
17,Coriander,Spices,320,5,7,28,4
18,Garlic,Vegetables,80,20,40,160,5
19,Onion,Vegetables,30,100,120,480,7
20,Potato,Vegetables,20,150,200,800,6
21,Tomato,Vegetables,25,80,100,400,7
22,Carrot,Vegetables,35,60,70,280,5
23,Cucumber,Vegetables,20,50,60,240,6
24,Lettuce,Vegetables,40,30,45,180,4
25,Cabbage,Vegetables,30,70,80,320,5
26,Apple,Fruits,60,40,50,200,3
27,Banana,Fruits,30,100,150,600,7
28,Orange,Fruits,40,60,70,280,5
29,Mango,Fruits,80,30,40,160,2
30,Grapes,Fruits,120,20,30,120,1
31,Watermelon,Fruits,50,25,35,140,4
32,Papaya,Fruits,45,15,25,100,3
33,Chicken,Meat,200,30,40,160,5
34,Mutton,Meat,350,15,20,80,2
35,Fish,Meat,250,20,30,120,4
36,Eggs,Protein,100,50,70,280,6
37,Paneer,Dairy,300,10,18,72,3
38,Almonds,Nuts,600,5,8,32,1
39,Cashews,Nuts,700,4,6,24,1
40,Peanuts,Nuts,150,10,15,60,3
41,Walnuts,Nuts,800,3,5,20,2
42,Sunflower Oil,Cooking,100,15,25,100,4
43,Mustard Oil,Cooking,110,10,18,72,3
44,Ghee,Cooking,280,8,12,48,2
45,Vinegar,Cooking,40,20,30,120,5
46,Soy Sauce,Cooking,60,15,20,80,3
47,Honey,Sweeteners,180,10,15,60,2
48,Jaggery,Sweeteners,50,20,30,120,5
49,White Bread,Bakery,50,40,60,240,6
50,Brown Bread,Bakery,60,30,45,180,4
51,Biscuits,Snacks,80,50,80,320,7
52,Chips,Snacks,30,60,100,400,6
53,Cookies,Snacks,120,35,50,200,5
54,Crackers,Snacks,70,40,60,240,4
55,Noodles,Staples,30,100,150,600,7
56,Pasta,Staples,60,50,70,280,5
57,Cornflakes,Breakfast,150,25,40,160,3
58,Oats,Breakfast,120,20,35,140,4
59,Juice,Beverages,80,30,50,200,5
